Time	Species	State	Cell	Experiment	Dish	Plate	Well	Date
Evren_Gel3_Tube7_TOF_Exp_36_1500ng	48	Human	TOF	E	36	7	3	3	20151201
Evren_Gel3_Tube8_GEF_Exp_36_1500ng	48	Human	GEF	E	36	8	3	4	20151201
Evren_Gel3_Tube9_BOS_Exp_36_1500ng	48	Human	BOS	E	36	9	3	5	20151201
Evren_Gel3_Tube10_VAN_Exp_36_1500ng	48	Human	VAN	E	36	10	3	2	20151201
Evren_Gel4_Tube2_CTRL_Exp_36_1500ng	48	Human	CTRL	E	36	2	4	1	20151201
Evren_Gel4_Tube11_NIL_Exp_36_1500ng	48	Human	NIL	E	36	11	4	2	20151201
Evren_Gel4_Tube12_AXI_Exp_36_1500ng	48	Human	AXI	E	36	12	4	3	20151201
Evren_Gel4_Tube13_PAZ_Exp_36_1500ng	48	Human	PAZ	E	36	13	4	4	20151201
Evren_Gel5_Tube1_CTRL_Exp_37_2000ng	48	Human	CTRL	E	37	1	5	1	20151201
Evren_Gel5_Tube3_TOF_Exp_37_2000ng	48	Human	TOF	E	37	3	5	2	20151201
Evren_Gel5_Tube4_GEF_Exp_37_2000ng	48	Human	GEF	E	37	4	5	3	20151201
Evren_Gel5_Tube5_BOS_Exp_37_2000ng	48	Human	BOS	E	37	5	5	4	20151201
Evren_Gel5_Tube6_VAN_Exp_37_2000ng	48	Human	VAN	E	37	6	5	5	20151201
Evren_Gel6_Tube1_CTRL_Exp_37_2000ng	48	Human	CTRL	E	37	1	6	1	20151201
Evren_Gel6_Tube7_NIL_Exp_37_2000ng	48	Human	NIL	E	37	7	6	3	20151201
Evren_Gel6_Tube8_AXI_Exp_37_2000ng	48	Human	AXI	E	37	8	6	4	20151201
Evren_Gel6_Tube9_PAZ_Exp_37_2000ng	48	Human	PAZ	E	37	9	6	5	20151201
Evren_Gel6_Tube10_RUX_Exp_37_2000ng	48	Human	RUX	E	37	10	6	2	20151201
Evren_Gel7_Tube2_CTRL_Exp_37_2000ng	48	Human	CTRL	E	37	2	7	1	20151201
Evren_Gel7_Tube11_AFA_Exp_37_2000ng	48	Human	AFA	E	37	11	7	2	20151201
Evren_Gel7_Tube12_REG_Exp_37_2000ng	48	Human	REG	E	37	12	7	3	20151201
Evren_Gel8_Tube1_CTRL_Exp_41_2000ng	48	Human	CTRL	E	41	1	8	1	20151201
Evren_Gel8_Tube3_ERL_Exp_41_2000ng	48	Human	ERL	E	41	3	8	2	20151201
Evren_Gel8_Tube5_TOF_Exp_41_2000ng	48	Human	TOF	E	41	5	8	3	20151201
Evren_Gel8_Tube6_GEF_Exp_41_2000ng	48	Human	GEF	E	41	6	8	4	20151201
Evren_Gel8_Tube7_BOS_Exp_41_2000ng	48	Human	BOS	E	41	7	8	5	20151201
Evren_Gel9_Tube2_CTRL_Exp_41_3000ng	48	Human	CTRL	E	41	2	9	1	20151201
Evren_Gel9_Tube8_VAN_Exp_41_3000ng	48	Human	VAN	E	41	8	9	4	20151201
Evren_Gel9_Tube9_NIL_Exp_41_3000ng	48	Human	NIL	E	41	9	9	5	20151201
Evren_Gel9_Tube10_AXI_Exp_41_3000ng	48	Human	AXI	E	41	10	9	2	20151201
Evren_Gel9_Tube11_PAZ_Exp_41_3000ng	48	Human	PAZ	E	41	11	9	3	20151201
Evren_Gel10_Tube1_CTRL_Exp_41_3000ng	48	Human	CTRL	E	41	1	10	1	20151201
Evren_Gel10_Tube12_RUX_Exp_41_3000ng	48	Human	RUX	E	41	12	10	2	20151201
Evren_Gel10_Tube13_RUX_Exp_41_3000ng	48	Human	RUX	E	41	13	10	3	20151201
Evren_Gel10_Tube14_AFA_Exp_41_3000ng	48	Human	AFA	E	41	14	10	4	20151201
Evren_Gel10_Tube15_AFA_Exp_41_3000ng	48	Human	AFA	E	41	15	10	5	20151201
Evren_Gel11_Tube17_REG_Exp_41_3000ng	48	Human	REG	E	41	17	11	3	20151201
Evren_Gel11_Tube2_CTRL_Exp_41_3000ng	48	Human	CTRL	E	41	2	11	1	20151201
Evren_Gel11_Tube16_REG_Exp_41_3000ng	48	Human	REG	E	41	16	11	2	20151201
Gel12_Tube1_CTRL_Exp_43	48	Human	CTRL	E	43	1	12	1	20151201
Gel12_Tube4_BOS_Exp_43	48	Human	BOS	E	43	4	12	2	20151201
Gel12_Tube5_VAN_Exp_43	48	Human	VAN	E	43	5	12	3	20151201
Gel12_Tube6_NIL_Exp_43	48	Human	NIL	E	43	6	12	4	20151201
Gel12_Tube7_AXI_Exp_43	48	Human	AXI	E	43	7	12	5	20151201
Gel13_Tube2_CTRL_Exp_43	48	Human	CTRL	E	43	2	13	1	20151201
Gel13_Tube8_PAZ_Exp_43	48	Human	PAZ	E	43	8	13	4	20151201
Gel13_Tube9_RUX_Exp_43	48	Human	RUX	E	43	9	13	5	20151201
Gel13_Tube10_AFA_Exp_43	48	Human	AFA	E	43	10	13	2	20151201
Gel13_Tube11_REG_Exp_43	48	Human	REG	E	43	11	13	3	20151201
Gel14_Tube1_Ctrl_Exp_43	48	Human	CTRL	E	43	1	14	1	20151201
Gel14_Tube18_LAP_Exp_43	48	Human	LAP	E	43	18	14	2	20151201
Gel14_Tube21_TRS_Exp_43	48	Human	TRS	E	43	21	14	3	20151201
Gel14_Tube23_SUN_Exp_43	48	Human	SUN	E	43	23	14	4	20151201
Gel15_Tube1_Ctrl_Exp_45	48	Human	CTRL	E	45	1	15	1	20151201
