Time	Species	State	Cell	Experiment	Dish	Plate	Well	Date
071116_Gel20_PRE_Exp53_tube_12	48	Human	PRE	B	53	12	20	3	20160628
071116_Gel20_SOR_Exp53_tube_20	48	Human	SOR	B	53	20	20	4	20160628
071116_Gel20_SUN_Exp53_tube_4	48	Human	SUN	B	53	4	20	5	20160628
09022016_Gel21_EXP59_VEM_tube15	48	Human	VEM	B	59	15	21	5	20160628
09022016_Gel21_EXP59_CTRL_tube2	48	Human	CTRL	B	59	2	21	1	20160628
09022016_Gel21_EXP59_PRE_tube6	48	Human	PRE	B	59	6	21	2	20160628
09022016_Gel21_EXP59_SUN_tube3	48	Human	SUN	B	59	3	21	3	20160628
09022016_Gel21_EXP59_TRS_tube11	48	Human	TRS	B	59	11	21	4	20160628
09022016_Gel22_EXP64_CTRL_tube1	48	Human	CTRL	B	64	1	22	1	20160628
09022016_Gel22_EXP64_TRS_tube8	48	Human	TRS	B	64	8	22	2	20160628
09022016_Gel23_EXP67_VEM_tube2	48	Human	VEM	B	67	2	23	5	20160628
09022016_Gel23_EXP67_CTRL_tube1	48	Human	CTRL	B	67	1	23	1	20160628
09022016_Gel23_EXP67_EST_tube13	48	Human	EST	B	67	13	23	2	20160628
09022016_Gel23_EXP67_SOR_tube15	48	Human	SOR	B	67	15	23	3	20160628
09022016_Gel23_EXP67_TRS_tube8	48	Human	TRS	B	67	8	23	4	20160628
09232016_Gel24_EXP72_CTRL_tube1	48	Human	CTRL	B	72	1	24	1	20160628
09232016_Gel24_EXP72_PRE_tube13	48	Human	SUN+PRE	B	72	12	24	2	20160628
09232016_Gel24_EXP72_SOR_tube15	48	Human	SOR	B	72	15	24	3	20160628
09232016_Gel24_EXP72_TRS_tube8	48	Human	TRS	B	72	8	24	4	20160628
09232016_Gel24_EXP72_VEM_tube2	48	Human	VEM	B	72	2	24	5	20160628
